"ncbi_id","ncbi_gs","ncbi_gs_synonyms","ncbi_name","pathway_kegg","pathway_reactome","pathway_wiki"
"3101","HK3","HKIII;HXK3;HK3","hexokinase 3","hsa00010;hsa00051;hsa00052;hsa00500;hsa00520;hsa00524;hsa04066;hsa04910;hsa04973;hsa05230;hsa05131;hsa04930","R-HSA-6798695;R-HSA-70171","WP5380;WP4018;WP500;WP534;WP5355;WP4290;WP4141;WP5394"
"3098","HK1","HK;HK1-ta;HK1-tb;HK1-tc;HKD;HKI;HMSNR;HXK1;NEDVIBA;NMSR;RP79;hexokinase;HK1","hexokinase 1","hsa00010;hsa00051;hsa00052;hsa00500;hsa00520;hsa00524;hsa04066;hsa04910;hsa04973;hsa05230;hsa05131;hsa04930","R-HSA-70171;R-HSA-5619056","WP4629;WP4628;WP4018;WP1946;WP5178;WP5211;WP698;WP500;WP534;WP5049;WP5314;WP5355;WP5220;WP3614;WP5394"
"3099","HK2","HKII;HXK2;HK2","hexokinase 2","hsa00010;hsa00051;hsa00052;hsa00500;hsa00520;hsa00524;hsa04066;hsa04910;hsa04973;hsa05230;hsa05131;hsa04930","R-HSA-70171","WP4018;WP500;WP534;WP5353;WP5355;WP5220;WP5394;WP5216"
"80201","HKDC1","RP92;HKDC1","hexokinase domain containing 1","hsa00010;hsa00051;hsa00052;hsa00500;hsa00520;hsa00524;hsa04066;hsa04910;hsa04973;hsa05230;hsa05131;hsa04930","R-HSA-70171","WP500"
"2645","GCK","FGQTL3;GK;GLK;HHF3;HK4;HKIV;HXKP;LGLK;MODY2;PNDM1;GCK","glucokinase","hsa00010;hsa00052;hsa00500;hsa00520;hsa00524;hsa04911;hsa04910;hsa04922;hsa04917;hsa05230;hsa04930;hsa04950","R-HSA-70171;R-HSA-170822;R-HSA-5619107;R-HSA-9615017;R-HSA-210745;R-HSA-5619073","WP5111;WP534;WP5355;WP5312;WP706;WP5394"
"2821","GPI","AMF;GNPI;NLK;PGI;PHI;SA-36;SA36;GPI","glucose-6-phosphate isomerase","hsa00010;hsa00030;hsa00500;hsa00520","R-HSA-6798695;R-HSA-5628897;R-HSA-70171;R-HSA-70263","WP4629;WP4628;WP4018;WP1946;WP5178;WP534;WP5355;WP5312;WP4290;WP5220;WP5153;WP5394"
"5213","PFKM","ATP-PFK;GSD7;PFK-1;PFK-A;PFK1;PFKA;PFKX;PPP1R122;PFKM","phosphofructokinase, muscle","hsa00010;hsa00030;hsa00051;hsa00052;hsa03018;hsa04066;hsa04152;hsa04922;hsa04919;hsa05230","R-HSA-70171","WP4629;WP4628;WP4018;WP534;WP481;WP5355"
"5214","PFKP","ATP-PFK;PFK-C;PFK-P;PFKF;PFKP","phosphofructokinase, platelet","hsa00010;hsa00030;hsa00051;hsa00052;hsa03018;hsa04066;hsa04152;hsa04922;hsa04919;hsa05230","R-HSA-70171","WP4018;WP1946;WP5211;WP534;WP5355"
"5211","PFKL","ATP-PFK;PFK-B;PFK-L;PFKL","phosphofructokinase, liver type","hsa00010;hsa00030;hsa00051;hsa00052;hsa03018;hsa04066;hsa04152;hsa04922;hsa04919;hsa05230","R-HSA-6798695;R-HSA-70171","WP4018;WP5178;WP534;WP481;WP5355;WP4290;WP5220;WP3614"
"2203","FBP1","FBP;FBP1","fructose-bisphosphatase 1","hsa00010;hsa00030;hsa00051;hsa04152;hsa04910;hsa04922","R-HSA-70263","WP3915;WP5178;WP534;WP5355;WP5216"
