"pathway_id","pathway_name","pathway_gene_ncbi_id","pathway_cpd_chebi_id"
"hsa01100","Metabolic pathways","",""
"hsa01200","Carbon metabolism","",""
"hsa01210","2-Oxocarboxylic acid metabolism","",""
"hsa01212","Fatty acid metabolism","",""
"hsa01230","Biosynthesis of amino acids","",""
"hsa01232","Nucleotide metabolism","",""
"hsa01250","Biosynthesis of nucleotide sugars","",""
"hsa01240","Biosynthesis of cofactors","",""
"hsa00010","Glycolysis / Gluconeogenesis","3101;3098;3099;80201;2645;2821;5213;5214;5211;2203;8789;230;226;229;7167;2597;26330;5232;5230;5223;5224;441531;2027;2026;2023;387712;5315;5313;5161;5160;5162;1737;1738;160287;92483;3939;3945;3948;124;125;126;131;127;128;130;10327;217;224;219;501;223;221;222;218;84532;55902;130589;5236;55276;2538;57818;92579;83440;669;9562;5105;5106","15361;32816;15351;4167;15366;30089;16452;30744;9532;18021;44897;15343;61553;15946;29042;16108;29052;422;16651;17794;15903;16001;17925;37736;16905;16236;17835;17665;17720;17719;17814;978;18305;2807;9003;80218;80219;80404"
"hsa00020","Citrate cycle (TCA cycle)","1431;47;50;48;3417;3418;3420;3421;3419;55753;4967;1743;1738;8802;8801;8803;6389;6390;6391;6392;2271;4190;4191;5091;5105;5106;5161;5160;5162;1737","15361;32816;15351;16810;30915;16452;30744;15741;9532;18021;44897;15380;18012;29806;15589;30797;16947;30769;16087;30887;16383;32805;978;7815;1463;80218;80219;80403;80404"
"hsa00030","Pentose phosphate pathway","2821;2539;25796;9563;5226;6120;729020;7086;84076;8277;6888;22934;23729;51071;64080;5236;55276;221823;5634;5631;9104;414328;132158;230;226;229;2203;8789;5213;5214;5211","15361;32816;4167;61553;15946;52742;17797;29052;17111;47013;17794;16217;17363;17032;15903;16332;18391;33198;16659;32398;48153;48928;37736;16905;17378;16300;17835;17665;11563;28542;190741;16132;55513;68819;17994;17719;16710;2229;16938;28816;167607;16802;27520;17784;15925;15721;27973;27469"
"hsa00040","Pentose and glucuronate interconversions","2990;9365;10941;79799;7367;10720;54490;54578;54657;54658;54659;7365;54600;7364;54575;54576;54579;7366;54577;7363;574537;7358;7360;10327;51084;6120;729020;9942;231;57016;441282;51181;6652;27294;55277;729920","15361;32816;16810;30915;167608;18066;46229;29042;16108;17754;17200;53455;15936;4178;47952;15748;17363;17032;46994;17108;16332;17535;17071;17173;17140;165240;17399;12952;4153;17151;17415;68837;15446;15963;82838;16789;48093;182416;16880;17767;33076;18403;17886;16142;17309;16022;13115;16154;46644;17360;4126;16246;17666;62321;28480;18333;15867;33809;141006;27975;168472;169226;166759;167579;174831;176746;15341;16593;1060;17117;17782;15623;15622;16787;28547;48092;6268;27450;28566;49039;37425"
"hsa00051","Fructose and mannose metabolism","4351;5373;5372;29925;29926;2762;7264;8790;197258;55556;3101;3098;3099;80201;5213;5214;5211;2203;8789;5207;5208;5209;5210;57103;3795;6652;231;57016;441282;230;226;229;7167;26007","61553;15946;37721;15824;15820;16108;29052;4208;422;16651;48649;17925;48066;17369;13332;17009;37736;16905;16899;18041;28808;62345;62346;17378;18205;35374;16298;28602;17924;17897;85507;2181;18105;37515;17044;6220;16647;17892;16955;28796;4093;21291;17291;17617;17548;21376;17357;16935;27857;38342;17942;16097;12387;28319;17937;17661;12350;16950;18078;468;7765;28845;16351;15847;81457;81499"
"hsa00052","Galactose metabolism","130589;2584;2592;2582;7360;5236;55276;3101;3098;3099;80201;2645;2538;57818;92579;2720;3938;3906;2683;8704;2717;231;57016;441282;5213;5214;5211;8972;93432;2548;2595;6476","167608;18066;46229;4167;67119;18307;61553;15946;17992;37721;15824;29042;16108;17754;29052;4139;17268;4208;17716;17925;17973;181444;16634;17378;17665;17924;4249;12931;16534;28061;4251;4141;17733;28037;17028;17505;17860;17164;16813;60312;177035;15945;15895;67118;4250;28339;27527;4808;153890;191711;15754;28053;31005;27387;37165;28663;191640;18207;18232"
"hsa00053","Ascorbate and aldarate metabolism","7358;10941;79799;7367;10720;54490;54578;54657;54658;54659;7365;54600;7364;54575;54576;54579;7366;54577;7363;574537;2990;9365;55586;10327;9104;217;224;219;501;223","15361;32816;16810;30915;167608;18066;46229;29073;38290;15820;17268;17200;4178;47952;15748;46994;17108;16332;17535;12952;4153;17415;16501;33510;17886;16085;16142;16292;16369;42819;17647;13115;16154;16002;30612;16157;30852;17587;16504;17666;17100;17464;16992;49060;15908;42905;42660;18038;18268;168472;169226;166759;167579;174831;176746;15341;16943;73681;16593;1060;17305;17543;15622;16787;28547;48092;6268;27956;17803;49039;37704;80181;80182;53072;37425;80368;85532;182410"
"hsa00500","Starch and sucrose metabolism","8972;93432;2548;2595;6476;7360;5167;5169;57733;2998;2997;2992;8908;2632;5836;5837;5834;178;278;279;276;280;277;124905666;124905668;128966568;128966570;11181;5236;55276;3101;3098;3099;80201;2645;2538;57818;92579;283209;2821","167608;18066;46229;4167;61553;15946;17992;4170;37721;15824;29042;17057;17306;28189;28017;52071;18269;62254;17383;29062;15751;28942;16218;18283;28102;28675;167580;18246;22798;37671;229909;17623;16551;18148;6435;3523;18398;16308;15703;15443;2233;17429;16703;28796;131603"
"hsa00520","Amino sugar and nucleotide sugar metabolism","27159;1118;3073;3074;55577;51005;10007;132789;3101;3098;3099;80201;9945;2673;64841;5238;2585;6675;91373;10020;5973;54187;140838;80896;55907;51706;1727;51700;606495;51167;123956252;80146;2645;5236;55276;7360;7358;2584;2592;2582;2821;4351;5373;5372;29925;29926;2762;7264;197258;8790","167608;18066;46229;4167;16264;67119;18307;61553;15946;37721;15824;15820;29042;16556;506227;4208;17200;53455;15936;16082;4178;47952;15748;165842;67168;46994;17108;17535;17925;17012;48066;17369;13332;17009;47977;12952;4153;47987;15873;15784;62254;17383;29062;17973;17029;15751;28942;16085;18205;35374;63153;17122;17665;17309;16261;17983;85507;28061;18097;2181;70765;28037;68678;139396;16955;73886;28681;70799;84725;42660;18038;15447;37166;22590;21615;181907;28881;16097;12387;28319;17661;146193;29025;70802;88237;184650;18098;67118;15807;17543;85804;62168;28273;70800;16446;52775;65047;15886;62420;17867;63273;68507;16787;28547;35373;27625;70738;27438;18232;15855;35041;80182;47025;47027;47028;53028;47039;47968;81010;81011;81012;44313;81497;63422;63283;63281;67178;138229"
